method,difference,train_test,train_infer,p_param,p_emp
pearson,0.00891718391702812,0.964704340096674,0.955787156179646,3.04756657340454e-07,0.000999000999000999
spearman,0.0124462369445432,0.949907046853609,0.937460809909066,1.99687681569148e-05,0.002997002997003
