feature,logFC,p_emp,p_param,p_adj_emp,p_adj_param
A1BG,0.170917624783875,0.001998001998002,2.11095147362456e-05,0.00302104030290175,3.40329179642573e-05
A1BG-AS1,0.226841500724945,0.000999000999000999,1.13369137467774e-15,0.00161105110343689,3.2213734788048e-15
A2M,-0.554129612853178,0.000999000999000999,3.13615031105863e-40,0.00161105110343689,2.68675289195338e-39
A2ML1,0.353199595006417,0.00999000999000999,0.00198860900996404,0.0135986365455539,0.00276150087991242
A4GALT,-0.439656879930851,0.000999000999000999,4.48902808811708e-27,0.00161105110343689,2.1959373072624e-26
AACS,-0.0737157556993218,0.010989010989011,0.00186137171138675,0.0148612177700507,0.00258921287559356
AADAT,0.936231401602475,0.000999000999000999,1.27570710974807e-64,0.00161105110343689,2.67220919673786e-63
AAGAB,0.187584436455367,0.000999000999000999,1.56603500707719e-21,0.00161105110343689,5.89363026519966e-21
AAMDC,0.127231256597513,0.000999000999000999,5.20315479059864e-06,0.00161105110343689,8.76155496762023e-06
AARD,-2.35471542648527,0.000999000999000999,3.75558695093256e-150,0.00161105110343689,1.95239308899162e-147
AARS1,0.386049190859076,0.000999000999000999,3.65414935959876e-61,0.00161105110343689,6.93076388486418e-60
AARSD1,-0.0174678705337907,0.365634365634366,0.459449787468799,0.394766377774024,0.492384484565278
AASDH,-0.0676325025968527,0.013986013986014,0.00996045486902475,0.0186670605622642,0.0130489945403249
AASDHPPT,0.199005212351322,0.000999000999000999,2.15323498402221e-15,0.00161105110343689,6.03148383841832e-15
AASS,0.25215736956727,0.000999000999000999,8.80397055464372e-10,0.00161105110343689,1.86533922255391e-09
AATBC,0.129937282518972,0.011988011988012,0.00640581654496404,0.0161435173798296,0.00853884893062397
AATK,0.175256836355272,0.000999000999000999,9.46196894852253e-06,0.00161105110343689,1.56812837073253e-05
ABAT,-0.0142146849626044,0.766233766233766,0.804564632491115,0.782377964861672,0.821956739776765
ABCA1,-0.22522644687206,0.000999000999000999,1.93511692803566e-11,0.00161105110343689,4.47833514891619e-11
ABCA10,-0.2291064473712,0.003996003996004,0.000501160623811473,0.00577559682829492,0.000731186893038884
ABCA11P,0.348815719224779,0.000999000999000999,6.79158415661861e-21,0.00161105110343689,2.48481599485755e-20
ABCA12,-0.433120736735515,0.000999000999000999,8.15698535916062e-06,0.00161105110343689,1.35657178352072e-05
ABCA17P,-0.132954508187012,0.026973026973027,0.0146378305561644,0.0346151828422924,0.0188591718002537
ABCA2,-0.27688471775561,0.000999000999000999,4.12909094761694e-19,0.00161105110343689,1.39758547404247e-18
ABCA3,-0.102995252325051,0.028971028971029,0.0185651764850131,0.0369883521256596,0.0237107675554545
ABCA4,0.234493467297823,0.012987012987013,0.00514738389478462,0.017421119813801,0.00691294382393749
ABCA5,-0.348233854725513,0.000999000999000999,7.86935938638884e-16,0.00161105110343689,2.2619216713277e-15
ABCA6,0.193370415258773,0.00699300699300699,0.00165726161140889,0.00975710881774076,0.00231741056971311
ABCA7,-0.202242641082012,0.000999000999000999,1.95142172451871e-08,0.00161105110343689,3.83675610509206e-08
