feature,logFC,p_emp,p_param,p_adj_emp,p_adj_param
A1BG,0.052144141686389,0.163836163836164,0.200211838587783,0.191751351391139,0.232257104972967
A1BG-AS1,0.141522246894964,0.000999000999000999,3.41052044104657e-07,0.00173140997508326,6.95296297401953e-07
A2M,-0.199260792722168,0.000999000999000999,1.54464313122281e-06,0.00173140997508326,2.99171608667152e-06
A2ML1,0.980266309231217,0.000999000999000999,1.65420451137134e-21,0.00173140997508326,8.47251992680432e-21
A4GALT,-0.161003222293372,0.001998001998002,0.000138070411550177,0.00325051903999272,0.000227504869168617
AACS,-0.422794693923184,0.000999000999000999,1.86683597289867e-51,0.00173140997508326,4.23631012342104e-50
AADAT,0.340504573974975,0.000999000999000999,4.75321230434894e-10,0.00173140997508326,1.19662093605192e-09
AAGAB,0.207965464657922,0.000999000999000999,2.92785041798028e-24,0.00173140997508326,1.78495870098297e-23
AAMDC,0.333085186661475,0.000999000999000999,1.628974817314e-27,0.00173140997508326,1.1851517166425e-26
AARD,-1.45410779841593,0.000999000999000999,1.37446111694639e-59,0.00173140997508326,4.51715856164248e-58
AARS1,0.302166398354705,0.000999000999000999,1.82263027431476e-35,0.00173140997508326,2.04969738911877e-34
AARSD1,0.0947299476790224,0.000999000999000999,1.71529516504005e-05,0.00173140997508326,3.05383418470782e-05
AASDH,0.0902443658942262,0.00999000999000999,0.00149912027534689,0.014335727008249,0.00224181989920794
AASDHPPT,-0.00443177874395584,0.816183816183816,0.847592449420435,0.832265897440648,0.864216354107294
AASS,0.0438068928775346,0.25974025974026,0.279448988218742,0.293455433236131,0.316598125632269
AATBC,-0.312426862642598,0.000999000999000999,3.38117518201095e-09,0.00173140997508326,7.99638142197254e-09
AATK,0.181952046245881,0.000999000999000999,1.42170403905181e-05,0.00173140997508326,2.55059279915853e-05
ABAT,0.332926024145468,0.000999000999000999,1.73776138192507e-13,0.00173140997508326,5.50547837259752e-13
ABCA1,-0.196170592649092,0.000999000999000999,5.67891231902745e-09,0.00173140997508326,1.31877604452217e-08
ABCA10,-0.449126794668424,0.000999000999000999,1.04647339121337e-13,0.00173140997508326,3.36667121668278e-13
ABCA11P,0.177355546480413,0.000999000999000999,2.94332519698865e-07,0.00173140997508326,6.02952002112828e-07
ABCA12,-0.469914278560176,0.000999000999000999,1.97378183428684e-06,0.00173140997508326,3.79206162249935e-06
ABCA17P,-0.319645854806871,0.000999000999000999,3.9631610805376e-09,0.00173140997508326,9.32263950598694e-09
ABCA2,-0.269490906843014,0.000999000999000999,4.46180291440976e-21,0.00173140997508326,2.21771577279898e-20
ABCA3,-0.195034807771975,0.001998001998002,7.59927344059104e-06,0.00325051903999272,1.39105138188284e-05
ABCA4,0.367200750668318,0.000999000999000999,6.83339936961362e-05,0.00173140997508326,0.000115117968169496
ABCA5,-0.589295989554171,0.000999000999000999,5.99465904218456e-43,0.00173140997508326,9.48283754709058e-42
ABCA6,0.106239933498589,0.0979020979020979,0.104005363531975,0.11889002906204,0.125754238578624
ABCA7,0.0142322543732094,0.649350649350649,0.70010962460787,0.678850400056981,0.731180145798576
ABCA8,0.305777608569308,0.004995004995005,0.00339456901693138,0.00756961337324396,0.00489826972579412
ABCA9,0.129742992507957,0.0639360639360639,0.064019583958327,0.0799078530474006,0.0795428551582168
ABCB1,0.423043454306242,0.000999000999000999,3.756249571619e-13,0.00173140997508326,1.16045992303097e-12
ABCB10,-0.210655152429833,0.000999000999000999,1.16707565009503e-13,0.00173140997508326,3.73993953772397e-13
ABCB4,0.0900024149613489,0.018981018981019,0.0157619023880805,0.0259330921139546,0.0210914797721396
ABCB6,0.16006044346897,0.000999000999000999,6.73488689015515e-09,0.00173140997508326,1.55421512031284e-08
ABCB8,0.0352683545575241,0.111888111888112,0.101456424960487,0.134687331403467,0.12293221022069
ABCB9,-0.186527096281327,0.000999000999000999,2.66597518811566e-08,0.00173140997508326,5.89307271482003e-08
ABCC1,0.17804778380054,0.000999000999000999,3.64429605120079e-10,0.00173140997508326,9.26835978153957e-10
ABCC11,0.184893506259267,0.036963036963037,0.043346576455103,0.0480830588883364,0.0550288372646257
ABCC12,1.32926079323,0.000999000999000999,7.11919002396303e-74,0.00173140997508326,4.47374595077281e-72
ABCC13,-0.110138598065724,0.153846153846154,0.155022407206085,0.180855017117737,0.182688435983101
ABCC2,1.33779758785994,0.000999000999000999,4.9417787903182e-93,0.00173140997508326,6.07732516396444e-91
ABCC3,-0.373673180586722,0.000999000999000999,5.67392506706628e-12,0.00173140997508326,1.62556816112317e-11
ABCC4,-0.147837715321561,0.00699300699300699,0.00282231668204086,0.0103398863579859,0.00410411136586158
ABCC5,-0.423310127827847,0.000999000999000999,4.86647965560993e-36,0.00173140997508326,5.66204759117098e-35
ABCC6,-0.505574574926267,0.000999000999000999,3.26936686851791e-19,0.00173140997508326,1.47037942883363e-18
ABCC6P2,-0.647809961208381,0.000999000999000999,5.94867589430314e-29,0.00173140997508326,4.68883571351792e-28
ABCC8,0.847636101600367,0.000999000999000999,3.02943762725767e-31,0.00173140997508326,2.68170883459334e-30
ABCC9,-0.11594207486865,0.038961038961039,0.0255101017507407,0.0504983457159341,0.0333362698495455
ABCD1,-0.248919791202894,0.000999000999000999,1.81705425733265e-11,0.00173140997508326,5.05636241876242e-11
ABCD2,-0.488919893361837,0.000999000999000999,1.34307152263882e-15,0.00173140997508326,4.84619577312962e-15
ABCD3,-0.00559976575183541,0.827172827172827,0.864639869459987,0.842344904672391,0.879872425217002
ABCG1,0.131782717412045,0.001998001998002,3.69868152540506e-05,0.00325051903999272,6.38132759180234e-05
ABCG2,0.0214547520741213,0.624375624375624,0.694328084103007,0.655256378783632,0.725605838622632
ABHD1,0.333244423834248,0.000999000999000999,4.08644028989696e-12,0.00173140997508326,1.18081398674966e-11
ABHD11,0.673222349506609,0.000999000999000999,2.08793901351433e-88,0.00173140997508326,2.36433252451122e-86
ABHD12,0.324917130486054,0.000999000999000999,5.81355834821566e-46,0.00173140997508326,1.03728029373701e-44
ABHD12B,-1.29375230688075,0.000999000999000999,3.06564341219821e-78,0.00173140997508326,2.24754895546865e-76
