method,difference,train_test,train_infer,p_param,p_emp
pearson,0.0196546898062451,0.967918259729886,0.948263569923641,1.73554204164736e-20,0.000999000999000999
spearman,0.0277621859145892,0.950376050636643,0.922613864722054,2.15374821780627e-12,0.000999000999000999
