method,difference,train_test,train_infer,p_param,p_emp
pearson,0.0100322696597352,0.963007548720331,0.952975279060596,3.9017528090704e-06,0.000999000999000999
spearman,0.000954418661353484,0.936798737926827,0.935844319265473,0.819798330840979,0.724275724275724
