feature,logFC,p_emp,p_param,p_adj_emp,p_adj_param
ACAT2,0.105635149340047,0.004995004995005,0.000674608436437345,0.00709222496931994,0.00096904002606555
ACBD3,-0.453089354198908,0.000999000999000999,8.64017193519319e-55,0.001593969646425,1.53921567636767e-53
ACBD4,0.202224204903199,0.000999000999000999,6.63231691668902e-08,0.001593969646425,1.24106362199235e-07
ACBD5,-0.213548799268019,0.000999000999000999,1.39935989839349e-12,0.001593969646425,3.42634963774917e-12
ACBD7,0.17144480611937,0.00899100899100899,0.00332209470378157,0.0123208926228337,0.0045231901341845
ACCS,0.289556042735077,0.000999000999000999,8.72300245875507e-18,0.001593969646425,2.80238705395454e-17
ACD,0.550966287906171,0.000999000999000999,3.50772497591085e-132,0.001593969646425,1.91037383569011e-129
ACE,-0.608139138958389,0.000999000999000999,1.4786948854838e-81,0.001593969646425,8.62848643126439e-80
ACE2,1.01246330857404,0.000999000999000999,1.35772345615182e-31,0.001593969646425,8.53202371868589e-31
ACER2,-0.430260703552649,0.000999000999000999,5.78383485315064e-16,0.001593969646425,1.68878527484003e-15
ACER3,0.183232137281649,0.000999000999000999,2.15659167714198e-07,0.001593969646425,3.91444834335388e-07
ACHE,-0.0302692049773339,0.563436563436564,0.610115684268314,0.591249103222679,0.641409420073233
ACKR1,-0.31895975698199,0.003996003996004,0.000491146172962615,0.00576103588835216,0.000712757109525876
ACKR2,-0.22249340196362,0.017982017982018,0.00679051387892104,0.0236228278957431,0.00900128734738293
ACKR3,0.119759535265779,0.010989010989011,0.00173936843568917,0.0148717688653791,0.00241656423699916
ACKR4,-0.237326720195111,0.000999000999000999,1.96291281968e-06,0.001593969646425,3.36427902273043e-06
ACLY,-0.204971767465917,0.000999000999000999,1.97862090640285e-15,0.001593969646425,5.61804550807582e-15
ACO1,-0.231393440035588,0.000999000999000999,2.05956414066494e-17,0.001593969646425,6.48547221277118e-17
ACOT1,0.145770547056321,0.000999000999000999,4.93724227087093e-07,0.001593969646425,8.79141208967006e-07
ACOT11,0.169377143567379,0.001998001998002,0.000204699869805745,0.00301347077029525,0.000305833103980184
ACOT2,0.0828105449674013,0.00699300699300699,0.00087079540527594,0.0097309917239349,0.00123856324463884
ACOT4,0.0487978846994905,0.130869130869131,0.13815040065267,0.15147760851637,0.159877133292986
ACOT7,-0.226896205164981,0.000999000999000999,2.06792232176094e-14,0.001593969646425,5.58856984734875e-14
ACOT9,-0.196698468265159,0.000999000999000999,1.33856187255427e-11,0.001593969646425,3.09776044848304e-11
ACOX2,-0.0683976472431365,0.202797202797203,0.207564836222368,0.228534004176925,0.235157903107996
ACOX3,0.200387774071471,0.000999000999000999,9.18638163697197e-11,0.001593969646425,2.02714615546408e-10
ACP3,0.0286825102215615,0.56043956043956,0.585010617538987,0.588482120156744,0.617172440991919
ACP5,-0.270234970844641,0.000999000999000999,2.52467088185428e-10,0.001593969646425,5.43983814539702e-10
ACP6,0.127468533710101,0.002997002997003,0.000123523788397592,0.00440178801550318,0.000187217276425028
ACSF2,0.419259028904109,0.000999000999000999,4.38002399202498e-24,0.001593969646425,1.93938576836197e-23
ACSF3,0.16267616894651,0.000999000999000999,3.11957468737289e-09,0.001593969646425,6.32374613603045e-09
ACSL1,-0.50724169087459,0.000999000999000999,1.10288307842141e-33,0.001593969646425,7.63077662910201e-33
ACSL3,0.2753829355507,0.000999000999000999,3.64040754009471e-17,0.001593969646425,1.13416891953319e-16
ACSL4,-0.390914681369175,0.000999000999000999,9.84068256314771e-27,0.001593969646425,4.91260962351464e-26
ACSL5,-0.212342343220519,0.000999000999000999,2.66431307821661e-07,0.001593969646425,4.81919162985345e-07
ACSL6,-1.18078947569177,0.000999000999000999,7.59794658483271e-41,0.001593969646425,7.32695742754905e-40
ACSM1,1.90692251058513,0.000999000999000999,6.36890440366962e-206,0.001593969646425,7.28411596647694e-202
ACSM3,0.430659310020157,0.000999000999000999,7.65577027606717e-12,0.001593969646425,1.80051500405882e-11
ACSM5,-0.532905833561886,0.000999000999000999,1.08673563988358e-20,0.001593969646425,4.02232864509662e-20
ACSS1,0.806153297543615,0.000999000999000999,5.90709900904748e-87,0.001593969646425,4.24902461424378e-85
ACSS2,0.139973114857663,0.000999000999000999,4.87126077426085e-07,0.001593969646425,8.6779765537728e-07
ACSS3,0.00155298503794121,0.959040959040959,0.940128995110194,0.960216357222398,0.946751370703116
ACTA1,0.13510548346446,0.164835164835165,0.179918118735859,0.188089372465308,0.20527002302554
ACTA2,-0.105361047522512,0.04995004995005,0.0388049725541228,0.0614278194923356,0.0478349289827013
ACTG2,0.474757312186766,0.001998001998002,1.87884804612682e-05,0.00301347077029525,3.00075200440616e-05
ACTL10,-0.0667977452597481,0.104895104895105,0.106546288747294,0.123082519204403,0.125148393180939
ACTL6A,-0.0931976223557802,0.00599400599400599,0.000408048046252647,0.00842801162447093,0.000595564765823318
ACTL8,0.281712832126281,0.035964035964036,0.0273641693184511,0.0451752530829961,0.0341887704276956
ACTMAP,0.262638898377014,0.000999000999000999,5.05676142124352e-26,0.001593969646425,2.46417470706272e-25
ACTN1,-0.0873093530325786,0.024975024975025,0.00936976547620771,0.0321267979574132,0.0122723325413866
