method,difference,train_test,train_infer,p_param,p_emp
pearson,0.0189894293878328,0.968103434725365,0.949114005337532,4.00968314008381e-30,0.000999000999000999
spearman,0.0275228123252032,0.955135582784481,0.927612770459278,3.71848930148011e-21,0.000999000999000999
