feature,logFC,p_emp,p_param,p_adj_emp,p_adj_param
A1BG,-0.150794002058711,0.004995004995005,0.000213803293715099,0.00725801958173957,0.000326253271543641
A1BG-AS1,-0.0298885741851298,0.244755244755245,0.326793810210137,0.274599346112001,0.362270117996835
A2M,-0.593821539533231,0.000999000999000999,6.44459894605921e-36,0.00164042705320523,4.739992163735e-35
A2ML1,0.724398601939516,0.000999000999000999,9.51656502970805e-11,0.00164042705320523,2.16944297876761e-10
A4GALT,-0.430110602445285,0.000999000999000999,2.58528385790059e-23,0.00164042705320523,1.08945805021404e-22
AACS,-0.070233249181296,0.015984015984016,0.00360878549722529,0.0214237889147065,0.00497692990856935
AADAT,0.743722933309849,0.000999000999000999,1.07345041864254e-40,0.00164042705320523,9.82950555485568e-40
AAGAB,0.201554687976739,0.000999000999000999,1.15559806767923e-20,0.00164042705320523,4.32055413535384e-20
AAMDC,0.358579570475625,0.000999000999000999,5.87069826266926e-32,0.00164042705320523,3.63525587602319e-31
AARD,-1.06807359022819,0.000999000999000999,1.96676592212307e-35,0.00164042705320523,1.41204656944893e-34
AARS1,0.386597912877559,0.000999000999000999,1.52935550393514e-58,0.00164042705320523,2.90552141171199e-57
AARSD1,-0.0452416161623548,0.03996003996004,0.0367792384067873,0.0503662086205617,0.0458267948206152
AASDH,0.132158283092192,0.001998001998002,9.12606171082104e-06,0.00308966317619644,1.53695726382948e-05
AASDHPPT,0.100419866189363,0.002997002997003,4.16519338487395e-05,0.00449766740279796,6.6991023404308e-05
AASS,-0.0894600432353179,0.0619380619380619,0.0551862566546013,0.0757226739054639,0.0673314718752587
AATBC,0.274711945962836,0.000999000999000999,3.12549513883888e-09,0.00164042705320523,6.52423579173211e-09
AATK,0.0881077304669258,0.047952047952048,0.0351602016295501,0.0596246545365919,0.0439295549393575
ABAT,-0.101211137406927,0.036963036963037,0.0309374387015464,0.0468728521727746,0.0389210742965115
ABCA1,-0.279992216588354,0.000999000999000999,7.03462972336817e-17,0.00164042705320523,2.21334415807873e-16
ABCA10,-0.548309706605595,0.000999000999000999,4.9445095663588e-16,0.00164042705320523,1.48660241615262e-15
ABCA11P,0.0997666315984587,0.010989010989011,0.0061654600274197,0.0150932290958711,0.00833207684433405
ABCA12,-0.769780937154186,0.000999000999000999,1.29701788034469e-15,0.00164042705320523,3.82122449703818e-15
ABCA17P,0.236698236763931,0.001998001998002,4.09995689282801e-06,0.00308966317619644,7.09076167900709e-06
